Comment,Designator,Footprint,LCSC
HDR-IDC-2_54-2X5P,"P101,P103,P105",IDC-TH_10P-P2.54_C5665,C5665
RVT0J102M0810,C128,CAP-SMD_BD8.0-L8.3-W8.3-FD,C42851
HS96L03W2C03,U144,OLED-TH_L27.8-W27.2-P2.54_C9900033791,C5248080
WS2812E-MINI-X1,"U150,U151,U152,U153,U154,U155,U156,U157,U158,U159,U160,U161,U162,U163,U164,U165,U166,U167,U168,U169,U170,U171,U172,U173,U174,U175,U176,U177,U178",LED-SMD_4P-L3.7-W3.5-P1.75-BR-SK6812MINI,C4154871
CC0603KRX7R9BB104,"C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126",C0603,C14663
2mm_clamp,"J130,J131,J132,J133,J134,J135,J136,J137,J138,J139,J140,J141,J142,J143,J144,J145,J146,J147,J148,J149,J150,J151,J152,J153,J154,J155,J156,J157,J158","Kaboom_box:2mm testlead, screw-clamp",
"74HC165D,653","U145,U146,U147,U148",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,C5613
